pics,Nombres,Nacionalidad,Latitud,Longitud,Hobbies,Tipo de sangre,MBTI,Grupo-solista,Signo,Edad,,
jungkook.jpg,Jeon Jungkook,"Corea, Busan",35.1028° N,129.0403° E,Boxear,A,INFJ,BTS,Virgo,28,,
jimin.jpg,Park Jimin,"Corea, Busan",35.1028° N,129.0403° E,Cantar,A,INTP,BTS,Libra,29,,
hoseok.jpg,Jung Hoseok,"Corea, Gwangju",35.1547° N,126.9156° E,Bailar,A,ENTP,BTS,Acuario,30,,
taehyung.jpg,Kim Taehyung,"Coreano, Daegu",35.8667° N,128.6000° E,Tocar violin,AB,ISTJ,BTS,Capricornio,29,,
NAMJOON.jpg,Kim Namjoon,"Coreano, Ilsan,",37.6760° N,126.7670° E,Manejar bicicleta,A,INFJ,BTS,Virgo,30,,
Seokjin.jpg,Kim Seokjin,"Corea, Gwacheon",37.4283° N,126.9872° E,Pescar,O,INFJ,BTS,Capricornio,31,,
yoongi.jpg,Min Yoongi,"Coreano, Daegu",35.8667° N,128.6000° E,Componer música,O,INFJ,TWICE,Picis,30,,
Jihyo.jpg,Park Jihyo,"Corea, Guri",37.5986° N,127.1394° E,Gimnasio,O,ENTP,TWICE,Acuario,27,,
mina.jpg,Mina,"EEUU, Texas",31.9686° N,99.9018° W,Comprar ropa,A,ENTP,TWICE,Aries,27,,
Sana.jpg,Sana,"Japon, Osaka",34.6937° N,135.5023° E,Yoga,A,ENTP,TWICE,Capricornio,27,,
momo.jpg,Hirai Momo,"Japon, Kioto",35.0116° N,135.7681° E,Bailar,A,INFJ,TWICE,Escorpio,28,,
DAHYUNG.jpg,Kim Dahyun,"Corea, Seongnam",37.4200° N,127.1265° E,Pintar,O,ENTP,TWICE,Geminis,26,,
Felix.jpg,Felix Lee,"Australia, Seven Hills",33.7720° S,150.9440° E,Rapear,O,INFJ,STRAYKIDZ,Tauro,26,,
bangchang.jpg,Bangchan,"Corea, Seul",37.5665° N,126.9780° E,Gimnasio,O,ESFJ,STRAYKIDZ,Capricornio,26,,
Chanbing.jpg,Changbin,"Corea, Yongin",37.2411° N,127.1776° E,Gimnasio,O,ESFJ,STRAYKIDZ,Sagitario,25,,
Leeknow.png,LeeKnow,"Corea, Daegot-Myeon",37.6840° N,126.5290° E,Escribir,A,ESFJ,STRAYKIDZ,Libra,25,,
Jisung.jpg,Han Ji-sung,"Corea, Seochang",36.7690° N,126.9320° E,Jugar videojuegos,AB,INFJ,STRAYKIDZ,Virgo,25,,
IN.jpg,I.N,"Corea, Busan",35.1028° N,129.0403° E,Hacer deporte,A,INFJ,STRAYKIDZ,Virgo,22,,
Haerin.jpg,Haerin,"Corea,Seul",37.5665° N,126.9780° E,Bailar,A,INFJ,NEWJEANS,Virgo,22,,
haewon.jpg,Haewon,Corea Seul,37.5665° N,126.9780° E,Bailar,O,INFJ,NMIXX,Piscis,24,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,, 
